,Zef Side_win/lose,Zef Side_strike,SuperYopoxd_win/lose,SuperYopoxd_strike,El Bladi_win/lose,El Bladi_strike, ak DreLz_win/lose, ak DreLz_strike,Gourkaran007_win/lose,Gourkaran007_strike,TabarnaK_win/lose,TabarnaK_strike,byNomar456_win/lose,byNomar456_strike,Gustiki_win/lose,Gustiki_strike,Pingüino Fachero_win/lose,Pingüino Fachero_strike,Ricardo Barras_win/lose,Ricardo Barras_strike
0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-3.0,-3.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
3,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0
4,-3.0,-3.0,0.0,0.0,1.0,1.0,-1.0,-1.0,3.0,3.0,1.0,1.0,-3.0,-3.0,1.0,1.0,-3.0,-3.0,1.0,1.0
5,-2.0,-2.0,0.0,0.0,2.0,2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,-4.0,-4.0,0.0,0.0,-4.0,-4.0,0.0,0.0
6,-1.0,-1.0,0.0,0.0,3.0,3.0,-1.0,-1.0,3.0,3.0,1.0,1.0,-5.0,-5.0,-1.0,-1.0,-3.0,-3.0,1.0,1.0
7,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,-6.0,-6.0,-2.0,-2.0,-4.0,-4.0,2.0,2.0
8,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,-3.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-1.0,-1.0,-5.0,-5.0,1.0,1.0
9,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,-6.0,-6.0,-2.0,-2.0,-6.0,-6.0,2.0,2.0
10,-1.0,-1.0,0.0,0.0,3.0,3.0,-3.0,-3.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-3.0,-3.0,-7.0,-7.0,3.0,3.0
11,-2.0,-2.0,0.0,0.0,4.0,4.0,-4.0,-4.0,2.0,2.0,0.0,0.0,-8.0,-8.0,-4.0,-4.0,-8.0,-8.0,4.0,4.0
12,-3.0,-3.0,0.0,0.0,3.0,3.0,-3.0,-3.0,3.0,3.0,-1.0,-1.0,-9.0,-9.0,-3.0,-3.0,-9.0,-9.0,5.0,5.0
13,-2.0,-2.0,0.0,0.0,4.0,4.0,-4.0,-4.0,4.0,4.0,-2.0,-2.0,-10.0,-10.0,-2.0,-2.0,-10.0,-10.0,4.0,4.0
14,-3.0,-3.0,0.0,0.0,3.0,3.0,-5.0,-5.0,3.0,3.0,-3.0,-3.0,-9.0,-9.0,-1.0,-1.0,-9.0,-9.0,5.0,5.0
15,-2.0,-2.0,0.0,0.0,4.0,4.0,-6.0,-6.0,2.0,2.0,-2.0,-2.0,-8.0,-8.0,0.0,0.0,-10.0,-10.0,4.0,4.0
16,-3.0,-3.0,0.0,0.0,5.0,5.0,-5.0,-5.0,3.0,3.0,-1.0,-1.0,-7.0,-7.0,-1.0,-1.0,-11.0,-11.0,3.0,3.0
17,-2.0,-2.0,0.0,0.0,4.0,4.0,-6.0,-6.0,4.0,4.0,-2.0,-2.0,-6.0,-6.0,-2.0,-2.0,-12.0,-12.0,4.0,4.0
18,-1.0,-1.0,0.0,0.0,5.0,5.0,-5.0,-5.0,3.0,3.0,-1.0,-1.0,-5.0,-5.0,-3.0,-3.0,-13.0,-13.0,3.0,3.0
19,0.0,0.0,0.0,0.0,6.0,6.0,-4.0,-4.0,2.0,2.0,-2.0,-2.0,-6.0,-6.0,-2.0,-2.0,-14.0,-14.0,4.0,4.0
20,-1.0,-1.0,0.0,0.0,7.0,7.0,-3.0,-3.0,1.0,1.0,-1.0,-1.0,-7.0,-7.0,-3.0,-3.0,-13.0,-13.0,5.0,5.0
21,-2.0,-2.0,0.0,0.0,6.0,6.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-8.0,-8.0,-2.0,-2.0,-12.0,-12.0,4.0,4.0
22,-3.0,-3.0,0.0,0.0,7.0,7.0,-3.0,-3.0,-1.0,-1.0,-3.0,-3.0,-7.0,-7.0,-1.0,-1.0,-13.0,-13.0,5.0,5.0
23,-2.0,-2.0,0.0,0.0,8.0,8.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-8.0,-8.0,-2.0,-2.0,-12.0,-12.0,4.0,4.0
24,-1.0,-1.0,0.0,0.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,-7.0,-3.0,-3.0,-11.0,-11.0,5.0,5.0
25,-2.0,-2.0,0.0,0.0,6.0,6.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-8.0,-8.0,-2.0,-2.0,-12.0,-12.0,4.0,4.0
26,-1.0,-1.0,0.0,0.0,5.0,5.0,-3.0,-3.0,-1.0,-1.0,-1.0,-1.0,-7.0,-7.0,-1.0,-1.0,-11.0,-11.0,3.0,3.0
27,-2.0,-2.0,0.0,0.0,4.0,4.0,-4.0,-4.0,-2.0,-2.0,0.0,0.0,-6.0,-6.0,-2.0,-2.0,-10.0,-10.0,2.0,2.0
