,zchute_win/lose,zchute_strike,Corte5_win/lose,Corte5_strike,Extraspace150_win/lose,Extraspace150_strike,Noozx_win/lose,Noozx_strike,MR BUSH_win/lose,MR BUSH_strike,KADA002_win/lose,KADA002_strike,Nün_win/lose,Nün_strike,DefaultEpsilon_win/lose,DefaultEpsilon_strike,lJoSSl_win/lose,lJoSSl_strike,nikeio_win/lose,nikeio_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-3.0,1.0,1.0,0.0,-1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-4.0,1.0,2.0,0.0,-2.0
5,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-3.0,1.0,3.0,1.0,-1.0
6,1.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,4.0,1.0,0.0
7,1.0,1.0,0.0,-1.0,0.0,-3.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-3.0,1.0,5.0,0.0,-1.0
8,0.0,0.0,0.0,-2.0,1.0,-2.0,1.0,2.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-4.0,1.0,6.0,1.0,0.0
9,0.0,-1.0,0.0,-3.0,1.0,-1.0,0.0,1.0,0.0,-3.0,0.0,0.0,1.0,1.0,0.0,-5.0,1.0,7.0,1.0,1.0
10,0.0,-2.0,0.0,-4.0,0.0,-2.0,1.0,2.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,6.0,1.0,2.0
11,0.0,-3.0,1.0,-3.0,1.0,-1.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.0,-1.0,1.0,-5.0,0.0,5.0,1.0,3.0
12,1.0,-2.0,1.0,-2.0,1.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,1.0,0.0,0.0,-6.0,1.0,6.0,0.0,2.0
13,1.0,-1.0,0.0,-3.0,1.0,1.0,1.0,1.0,1.0,-3.0,0.0,0.0,1.0,1.0,1.0,-5.0,0.0,5.0,1.0,3.0
14,0.0,-2.0,0.0,-4.0,1.0,2.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,1.0,-4.0,1.0,6.0,1.0,4.0
15,0.0,-3.0,0.0,-5.0,0.0,1.0,0.0,-1.0,0.0,-5.0,0.0,0.0,1.0,1.0,1.0,-3.0,0.0,5.0,1.0,5.0
16,1.0,-2.0,0.0,-6.0,0.0,0.0,0.0,-2.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,4.0,1.0,6.0
17,0.0,-3.0,0.0,-7.0,0.0,-1.0,0.0,-3.0,0.0,-7.0,0.0,0.0,1.0,1.0,1.0,-3.0,1.0,5.0,1.0,7.0
