,7ckingMad_win/lose,7ckingMad_strike,Barça_win/lose,Barça_strike,Onyankopon_win/lose,Onyankopon_strike,Łôrd Ôƒ Śµâdôwśº_win/lose,Łôrd Ôƒ Śµâdôwśº_strike,Mielli_win/lose,Mielli_strike,xllBorquezzz_win/lose,xllBorquezzz_strike,111 4u  2u_win/lose,111 4u  2u_strike,Cursed Bloodline_win/lose,Cursed Bloodline_strike,Neviden_win/lose,Neviden_strike,Dirty Mudbloods_win/lose,Dirty Mudbloods_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0
2,0.0,-2.0,1.0,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,-2.0,0.0,-2.0
3,0.0,-3.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,-3.0,0.0,-3.0
4,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,-4.0,1.0,-2.0
5,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-3.0,1.0,-3.0,0.0,-1.0,1.0,3.0,0.0,1.0,0.0,-5.0,0.0,-3.0
6,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,-2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,-6.0,1.0,-2.0
7,0.0,-3.0,1.0,1.0,0.0,-1.0,1.0,-3.0,0.0,-3.0,0.0,-1.0,1.0,5.0,1.0,1.0,1.0,-5.0,1.0,-1.0
8,1.0,-2.0,1.0,2.0,1.0,0.0,1.0,-2.0,1.0,-2.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,-6.0,0.0,-2.0
9,0.0,-3.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,-5.0,0.0,-3.0
10,0.0,-4.0,1.0,2.0,0.0,0.0,0.0,-2.0,0.0,-2.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0,-6.0,0.0,-4.0
11,0.0,-5.0,0.0,1.0,0.0,-1.0,0.0,-3.0,1.0,-1.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,-5.0,0.0,-5.0
12,0.0,-6.0,1.0,2.0,1.0,0.0,0.0,-4.0,0.0,-2.0,1.0,2.0,1.0,6.0,1.0,4.0,0.0,-6.0,0.0,-6.0
13,0.0,-7.0,0.0,1.0,0.0,-1.0,1.0,-3.0,1.0,-1.0,1.0,3.0,0.0,5.0,0.0,3.0,1.0,-5.0,0.0,-7.0
14,0.0,-8.0,1.0,2.0,1.0,0.0,1.0,-2.0,0.0,-2.0,0.0,2.0,1.0,6.0,1.0,4.0,1.0,-4.0,1.0,-6.0
15,1.0,-7.0,1.0,3.0,1.0,1.0,1.0,-1.0,0.0,-3.0,0.0,1.0,1.0,7.0,1.0,5.0,0.0,-5.0,1.0,-5.0
16,1.0,-6.0,1.0,4.0,1.0,2.0,0.0,-2.0,1.0,-2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,-6.0,1.0,-4.0
17,1.0,-5.0,1.0,5.0,1.0,3.0,0.0,-3.0,1.0,-1.0,0.0,-1.0,0.0,5.0,0.0,3.0,0.0,-7.0,1.0,-3.0
18,0.0,-6.0,1.0,6.0,1.0,4.0,1.0,-2.0,1.0,0.0,0.0,-2.0,0.0,4.0,0.0,2.0,0.0,-8.0,1.0,-2.0
19,0.0,-7.0,1.0,7.0,1.0,5.0,0.0,-3.0,1.0,1.0,1.0,-1.0,0.0,3.0,1.0,3.0,0.0,-9.0,0.0,-3.0
20,0.0,-8.0,1.0,8.0,1.0,6.0,1.0,-2.0,1.0,2.0,0.0,-2.0,0.0,2.0,0.0,2.0,0.0,-10.0,0.0,-4.0
21,0.0,-9.0,1.0,9.0,1.0,7.0,0.0,-3.0,1.0,3.0,0.0,-3.0,0.0,1.0,1.0,3.0,1.0,-9.0,1.0,-3.0
22,1.0,-8.0,1.0,10.0,0.0,6.0,0.0,-4.0,0.0,2.0,0.0,-4.0,1.0,2.0,1.0,4.0,0.0,-10.0,1.0,-2.0
23,1.0,-7.0,1.0,11.0,1.0,7.0,1.0,-3.0,1.0,3.0,0.0,-5.0,0.0,1.0,0.0,3.0,1.0,-9.0,0.0,-3.0
24,1.0,-6.0,0.0,10.0,1.0,8.0,0.0,-4.0,1.0,4.0,0.0,-6.0,1.0,2.0,0.0,2.0,1.0,-8.0,1.0,-2.0
25,1.0,-5.0,0.0,9.0,1.0,9.0,1.0,-3.0,0.0,3.0,1.0,-5.0,1.0,3.0,0.0,1.0,0.0,-9.0,0.0,-3.0
26,1.0,-4.0,1.0,10.0,0.0,8.0,0.0,-4.0,0.0,2.0,1.0,-4.0,0.0,2.0,1.0,2.0,0.0,-10.0,1.0,-2.0
27,1.0,-3.0,1.0,11.0,1.0,9.0,1.0,-3.0,1.0,3.0,1.0,-3.0,1.0,3.0,0.0,1.0,0.0,-11.0,0.0,-3.0
28,1.0,-2.0,1.0,12.0,0.0,8.0,0.0,-4.0,1.0,4.0,1.0,-2.0,1.0,4.0,1.0,2.0,1.0,-10.0,1.0,-2.0
29,0.0,-3.0,0.0,11.0,0.0,7.0,1.0,-3.0,0.0,3.0,0.0,-3.0,0.0,3.0,0.0,1.0,1.0,-9.0,1.0,-1.0
30,1.0,-2.0,0.0,10.0,1.0,8.0,0.0,-4.0,0.0,2.0,1.0,-2.0,1.0,4.0,1.0,2.0,0.0,-10.0,1.0,0.0
