name_player,id_player,championName,championId,kda,kills,deaths,assists,goldEarned,goldSpent,visionScore,win
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,0.375,3,8,0,10759,10075,15,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,2.0833333333333335,13,12,12,20178,18775,41,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,0.3333333333333333,1,6,1,4970,4150,16,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,1.0,1,3,2,4657,3475,12,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,3.5,12,8,16,17413,17350,32,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,13.0,10,1,3,10041,8600,8,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Katarina,55,4.333333333333333,11,3,2,12375,10125,24,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,1.625,11,8,2,12346,11025,27,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,2.1666666666666665,10,6,3,12466,11500,31,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Graves,104,1.8333333333333333,14,12,8,19770,16550,15,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,3.2,10,5,6,13061,11200,15,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Sylas,517,1.75,7,8,7,11460,10835,14,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,3.3333333333333335,13,6,7,16278,14975,17,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Mordekaiser,82,2.5555555555555554,15,9,8,17863,16350,32,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,1.8888888888888888,9,9,8,13473,12200,25,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,0.6,1,5,2,2844,2100,4,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Nasus,75,1.2,4,5,2,7165,6875,11,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Veigar,45,3.25,8,4,5,9650,9515,23,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Katarina,55,2.2222222222222223,16,9,4,15651,14300,16,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Vladimir,8,6.2,18,5,13,19451,16800,22,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,1.9090909090909092,11,11,10,18757,17725,45,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Katarina,55,2.0,12,10,8,14835,13775,27,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,0.0,0,0,0,500,500,0,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Warwick,19,3.3333333333333335,14,6,6,14241,12650,23,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Nasus,75,4.5,14,6,13,17939,16150,30,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,1.25,8,12,7,12959,12725,23,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Veigar,45,4.2,13,5,8,15557,12125,20,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,2.3333333333333335,5,3,2,6464,5050,14,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Veigar,45,3.6,8,5,10,13349,10825,27,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Nasus,75,1.8888888888888888,8,9,9,14504,13300,12,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Nasus,75,1.2857142857142858,5,7,4,9865,8735,12,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,6.5,9,2,4,12709,10625,16,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Warwick,19,1.8888888888888888,10,9,7,12190,10260,24,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Riven,92,0.0,0,0,0,500,500,0,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Veigar,45,1.625,8,8,5,12594,11010,22,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,2.090909090909091,17,11,6,17131,15880,30,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Katarina,55,6.5,14,4,12,13747,10950,12,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Malphite,54,2.6666666666666665,5,6,11,10521,9300,21,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Jax,24,1.5714285714285714,4,7,7,11989,12343,31,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Warwick,19,3.0,10,5,5,14204,10375,19,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Veigar,45,1.1666666666666667,2,6,5,9227,8385,20,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Lux,99,0.0,0,0,0,515,0,0,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Khazix,121,0.0,0,0,0,725,500,0,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Veigar,45,3.1666666666666665,12,6,7,11547,10900,13,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Veigar,45,2.8181818181818183,20,11,11,23682,21040,27,True
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Mordekaiser,82,1.125,5,8,4,10013,9500,9,False
BrianAug,26VXLIMD1h4X3jI_d6U9JuMRraAdz2qDPW3LReFXU6kzS9s,Warwick,19,2.0,7,9,11,14248,11385,21,True
