,name_player,id_player,championName,championId,kda,kills,deaths,assists,goldEarned,goldSpent,visionScore,win
0,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Mordekaiser,82,0.625,2,8,3,10195,9350,19,False
1,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Ornn,516,6.5,2,2,11,9600,9060,9,True
2,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Thresh,412,2.7142857142857144,1,7,18,8460,8200,42,False
3,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Aatrox,266,3.0,9,7,12,14188,13480,22,False
4,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Aatrox,266,6.333333333333333,15,3,4,18302,16800,25,True
5,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Jhin,202,3.0,5,5,10,13329,12900,17,False
6,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Aatrox,266,2.3333333333333335,9,6,5,14485,14000,18,False
7,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Samira,360,1.6666666666666667,11,9,4,13738,13400,12,False
8,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Milio,902,3.4,1,5,16,8152,7175,41,True
9,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,MissFortune,21,3.5714285714285716,14,7,11,17280,14970,19,True
10,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,MissFortune,21,3.0,8,4,4,15563,17730,16,False
11,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,MissFortune,21,7.333333333333333,12,3,10,13244,10450,10,True
12,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Samira,360,1.0909090909090908,4,11,8,15958,14700,25,True
13,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Samira,360,1.7777777777777777,10,9,6,14333,12600,21,True
14,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Samira,360,1.25,10,12,5,16571,14450,23,True
15,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Samira,360,17.0,13,0,4,12217,10450,8,True
16,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Samira,360,3.2,9,5,7,12712,11300,16,True
17,King Pollo,PXaLRZoy3oWJZNShEHL-kSkYYBOeXgg918fu9-dSS_Y3Ag,Samira,360,0.5,0,6,3,8035,8150,11,False
