,Zef Side_win/lose,Zef Side_strike,SuperYopoxd_win/lose,SuperYopoxd_strike,El Bladi_win/lose,El Bladi_strike, ak DreLz_win/lose, ak DreLz_strike,Gourkaran007_win/lose,Gourkaran007_strike,TabarnaK_win/lose,TabarnaK_strike,byNomar456_win/lose,byNomar456_strike,Gustiki_win/lose,Gustiki_strike,Pingüino Fachero_win/lose,Pingüino Fachero_strike,Ricardo Barras_win/lose,Ricardo Barras_strike
0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1,0.0,-2.0,0.0,0.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0
2,0.0,-3.0,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0
3,1.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,0.0,0.0
4,0.0,-3.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,3.0,1.0,1.0,0.0,-3.0,1.0,1.0,0.0,-3.0,1.0,1.0
5,1.0,-2.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-4.0,0.0,0.0
6,1.0,-1.0,0.0,0.0,1.0,3.0,1.0,-1.0,1.0,3.0,1.0,1.0,0.0,-5.0,0.0,-1.0,1.0,-3.0,1.0,1.0
7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,-6.0,0.0,-2.0,0.0,-4.0,1.0,2.0
8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,1.0,1.0,1.0,0.0,-7.0,1.0,-1.0,0.0,-5.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0,2.0,1.0,-2.0,1.0,2.0,0.0,0.0,1.0,-6.0,0.0,-2.0,0.0,-6.0,1.0,2.0
10,0.0,-1.0,0.0,0.0,1.0,3.0,0.0,-3.0,0.0,1.0,1.0,1.0,0.0,-7.0,0.0,-3.0,0.0,-7.0,1.0,3.0
11,0.0,-2.0,0.0,0.0,1.0,4.0,0.0,-4.0,1.0,2.0,0.0,0.0,0.0,-8.0,0.0,-4.0,0.0,-8.0,1.0,4.0
12,0.0,-3.0,0.0,0.0,0.0,3.0,1.0,-3.0,1.0,3.0,0.0,-1.0,0.0,-9.0,1.0,-3.0,0.0,-9.0,1.0,5.0
13,1.0,-2.0,0.0,0.0,1.0,4.0,0.0,-4.0,1.0,4.0,0.0,-2.0,0.0,-10.0,1.0,-2.0,0.0,-10.0,0.0,4.0
14,0.0,-3.0,0.0,0.0,0.0,3.0,0.0,-5.0,0.0,3.0,0.0,-3.0,1.0,-9.0,1.0,-1.0,1.0,-9.0,1.0,5.0
15,1.0,-2.0,0.0,0.0,1.0,4.0,0.0,-6.0,0.0,2.0,1.0,-2.0,1.0,-8.0,1.0,0.0,0.0,-10.0,0.0,4.0
16,0.0,-3.0,0.0,0.0,1.0,5.0,1.0,-5.0,1.0,3.0,1.0,-1.0,1.0,-7.0,0.0,-1.0,0.0,-11.0,0.0,3.0
17,1.0,-2.0,0.0,0.0,0.0,4.0,0.0,-6.0,1.0,4.0,0.0,-2.0,1.0,-6.0,0.0,-2.0,0.0,-12.0,1.0,4.0
18,1.0,-1.0,0.0,0.0,1.0,5.0,1.0,-5.0,0.0,3.0,1.0,-1.0,1.0,-5.0,0.0,-3.0,0.0,-13.0,0.0,3.0
19,1.0,0.0,0.0,0.0,1.0,6.0,1.0,-4.0,0.0,2.0,0.0,-2.0,0.0,-6.0,1.0,-2.0,0.0,-14.0,1.0,4.0
20,0.0,-1.0,0.0,0.0,1.0,7.0,1.0,-3.0,0.0,1.0,1.0,-1.0,0.0,-7.0,0.0,-3.0,1.0,-13.0,1.0,5.0
21,0.0,-2.0,0.0,0.0,0.0,6.0,1.0,-2.0,0.0,0.0,0.0,-2.0,0.0,-8.0,1.0,-2.0,1.0,-12.0,0.0,4.0
22,0.0,-3.0,0.0,0.0,1.0,7.0,0.0,-3.0,0.0,-1.0,0.0,-3.0,1.0,-7.0,1.0,-1.0,0.0,-13.0,1.0,5.0
23,1.0,-2.0,0.0,0.0,1.0,8.0,1.0,-2.0,1.0,0.0,1.0,-2.0,0.0,-8.0,0.0,-2.0,1.0,-12.0,0.0,4.0
24,1.0,-1.0,0.0,0.0,0.0,7.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-7.0,0.0,-3.0,1.0,-11.0,1.0,5.0
25,0.0,-2.0,0.0,0.0,0.0,6.0,0.0,-2.0,0.0,-2.0,1.0,0.0,0.0,-8.0,1.0,-2.0,0.0,-12.0,0.0,4.0
26,1.0,-1.0,0.0,0.0,0.0,5.0,0.0,-3.0,1.0,-1.0,0.0,-1.0,1.0,-7.0,1.0,-1.0,1.0,-11.0,0.0,3.0
27,0.0,-2.0,0.0,0.0,0.0,4.0,0.0,-4.0,0.0,-2.0,1.0,0.0,1.0,-6.0,0.0,-2.0,1.0,-10.0,0.0,2.0
28,1.0,-1.0,0.0,0.0,0.0,3.0,0.0,-5.0,0.0,-3.0,1.0,1.0,0.0,-7.0,1.0,-1.0,0.0,-11.0,0.0,1.0
29,0.0,-2.0,0.0,0.0,1.0,4.0,0.0,-6.0,1.0,-2.0,1.0,2.0,1.0,-6.0,0.0,-2.0,0.0,-12.0,1.0,2.0
30,0.0,-3.0,0.0,0.0,1.0,5.0,0.0,-7.0,0.0,-3.0,0.0,1.0,0.0,-7.0,1.0,-1.0,1.0,-11.0,0.0,1.0
31,1.0,-2.0,0.0,0.0,0.0,4.0,1.0,-6.0,1.0,-2.0,1.0,2.0,1.0,-6.0,1.0,0.0,1.0,-10.0,1.0,2.0
32,0.0,-3.0,0.0,0.0,0.0,3.0,0.0,-7.0,1.0,-1.0,0.0,1.0,0.0,-7.0,1.0,1.0,1.0,-9.0,0.0,1.0
33,1.0,-2.0,0.0,0.0,1.0,4.0,0.0,-8.0,0.0,-2.0,1.0,2.0,1.0,-6.0,0.0,0.0,0.0,-10.0,0.0,0.0
34,0.0,-3.0,0.0,0.0,1.0,5.0,0.0,-9.0,0.0,-3.0,0.0,1.0,1.0,-5.0,1.0,1.0,0.0,-11.0,0.0,-1.0
35,1.0,-2.0,0.0,0.0,1.0,6.0,1.0,-8.0,1.0,-2.0,0.0,0.0,0.0,-6.0,0.0,0.0,1.0,-10.0,0.0,-2.0
36,1.0,-1.0,0.0,0.0,1.0,7.0,0.0,-9.0,0.0,-3.0,1.0,1.0,1.0,-5.0,1.0,1.0,1.0,-9.0,1.0,-1.0
37,1.0,0.0,0.0,0.0,1.0,8.0,0.0,-10.0,1.0,-2.0,0.0,0.0,1.0,-4.0,0.0,0.0,1.0,-8.0,0.0,-2.0
38,0.0,-1.0,0.0,0.0,1.0,9.0,0.0,-11.0,1.0,-1.0,0.0,-1.0,0.0,-5.0,0.0,-1.0,0.0,-9.0,0.0,-3.0
39,1.0,0.0,0.0,-1.0,1.0,10.0,0.0,-12.0,1.0,0.0,0.0,-2.0,0.0,-6.0,1.0,0.0,0.0,-10.0,0.0,-4.0
40,1.0,1.0,1.0,0.0,1.0,11.0,1.0,-11.0,1.0,1.0,0.0,-3.0,0.0,-7.0,0.0,-1.0,0.0,-11.0,0.0,-5.0
