,Von der Klaus_win/lose,Von der Klaus_strike,Hardstuck Flamer_win/lose,Hardstuck Flamer_strike,Chrysis666_win/lose,Chrysis666_strike,Cheyzruu_win/lose,Cheyzruu_strike,little hooky_win/lose,little hooky_strike,DXXXRoDriGoXXXD_win/lose,DXXXRoDriGoXXXD_strike,TheShacoLaKiLL_win/lose,TheShacoLaKiLL_strike,the sansation_win/lose,the sansation_strike,DonDorito_win/lose,DonDorito_strike,P4Ko Amoroso_win/lose,P4Ko Amoroso_strike
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0
2,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-3.0,-3.0,-3.0,-3.0
3,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-2.0,-2.0
4,-3.0,-3.0,-1.0,-1.0,-1.0,-1.0,-3.0,-3.0,-3.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.0,-3.0,-3.0,-3.0
5,-4.0,-4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,0.0,0.0,2.0,2.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0
6,-5.0,-5.0,-1.0,-1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,1.0,3.0,3.0,1.0,1.0,-5.0,-5.0,-5.0,-5.0
7,-4.0,-4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,4.0,4.0,2.0,2.0,-6.0,-6.0,-6.0,-6.0
8,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,-7.0,-7.0,-5.0,-5.0
9,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,4.0,-8.0,-8.0,-4.0,-4.0
10,-1.0,-1.0,-3.0,-3.0,-5.0,-5.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,1.0,1.0,5.0,5.0,-9.0,-9.0,-3.0,-3.0
11,0.0,0.0,-2.0,-2.0,-6.0,-6.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,4.0,4.0,-8.0,-8.0,-2.0,-2.0
12,1.0,1.0,-3.0,-3.0,-5.0,-5.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0,5.0,5.0,-9.0,-9.0,-1.0,-1.0
13,2.0,2.0,-2.0,-2.0,-4.0,-4.0,-2.0,-2.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,6.0,-8.0,-8.0,0.0,0.0
14,3.0,3.0,-3.0,-3.0,-5.0,-5.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0,7.0,7.0,-9.0,-9.0,1.0,1.0
15,4.0,4.0,-2.0,-2.0,-4.0,-4.0,-2.0,-2.0,0.0,0.0,2.0,2.0,2.0,2.0,8.0,8.0,-8.0,-8.0,0.0,0.0
16,5.0,5.0,-3.0,-3.0,-5.0,-5.0,-3.0,-3.0,1.0,1.0,3.0,3.0,3.0,3.0,7.0,7.0,-7.0,-7.0,1.0,1.0
17,4.0,4.0,-2.0,-2.0,-4.0,-4.0,-2.0,-2.0,0.0,0.0,4.0,4.0,4.0,4.0,8.0,8.0,-8.0,-8.0,2.0,2.0
