,nukeduck 23_win/lose,nukeduck 23_strike,BlueRunes01_win/lose,BlueRunes01_strike,La Escolaneta_win/lose,La Escolaneta_strike,OmiGamerHD_win/lose,OmiGamerHD_strike,maƒa_win/lose,maƒa_strike,wokee_win/lose,wokee_strike,LeonaRoadhes_win/lose,LeonaRoadhes_strike,ROGE1377_win/lose,ROGE1377_strike,lJoSSl_win/lose,lJoSSl_strike,Tweedle_win/lose,Tweedle_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
2,1.0,2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0
3,1.0,3.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-3.0,0.0,-3.0
4,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,-2.0
5,0.0,3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-1.0,0.0,-1.0,0.0,-5.0,1.0,-1.0
6,1.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,0.0,0.0,-2.0,0.0,-6.0,0.0,-2.0
7,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,-3.0,1.0,-5.0,1.0,-1.0
8,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,2.0,1.0,-2.0,0.0,-6.0,0.0,-2.0
9,0.0,3.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-3.0,0.0,-7.0,1.0,-1.0
10,0.0,2.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,0.0,-4.0,1.0,-6.0,0.0,-2.0
11,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-5.0,0.0,-7.0,1.0,-1.0
12,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,1.0,-6.0,0.0,-2.0
13,1.0,3.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-7.0,1.0,-5.0,1.0,-1.0
14,1.0,4.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-6.0,1.0,-4.0,0.0,-2.0
15,0.0,3.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-7.0,1.0,-3.0,1.0,-1.0
