,ObiTahm Kenchobi_win/lose,ObiTahm Kenchobi_strike,Docatame_win/lose,Docatame_strike,EKKO DE LUDEEEN_win/lose,EKKO DE LUDEEEN_strike,KriooReaady_win/lose,KriooReaady_strike,HI IM BASTI _win/lose,HI IM BASTI _strike,Salfat3_win/lose,Salfat3_strike,King Kriz_win/lose,King Kriz_strike,JarritodePomaire_win/lose,JarritodePomaire_strike,Xiss_win/lose,Xiss_strike,Prisin_win/lose,Prisin_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0
2,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,-2.0,1.0,0.0,1.0,2.0
3,1.0,1.0,0.0,0.0,1.0,3.0,0.0,-1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,-3.0,1.0,1.0,1.0,3.0
4,0.0,0.0,0.0,0.0,1.0,4.0,0.0,-2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,-4.0,0.0,0.0,1.0,4.0
5,1.0,1.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,-1.0,1.0,5.0,0.0,-1.0,1.0,-3.0,0.0,-1.0,0.0,3.0
6,0.0,0.0,0.0,0.0,1.0,4.0,0.0,-4.0,0.0,-2.0,0.0,4.0,0.0,-2.0,1.0,-2.0,0.0,-2.0,0.0,2.0
7,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,0.0,-3.0,1.0,5.0,1.0,-1.0,1.0,-1.0,0.0,-3.0,0.0,1.0
8,1.0,2.0,0.0,0.0,0.0,4.0,1.0,-2.0,0.0,-4.0,0.0,4.0,0.0,-2.0,0.0,-2.0,1.0,-2.0,0.0,0.0
9,1.0,3.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,-5.0,1.0,5.0,1.0,-1.0,0.0,-3.0,0.0,-3.0,1.0,1.0
10,1.0,4.0,0.0,0.0,1.0,4.0,1.0,-2.0,1.0,-4.0,1.0,6.0,1.0,0.0,1.0,-2.0,1.0,-2.0,1.0,2.0
11,1.0,5.0,0.0,0.0,1.0,5.0,0.0,-3.0,0.0,-5.0,0.0,5.0,1.0,1.0,1.0,-1.0,0.0,-3.0,0.0,1.0
12,0.0,4.0,0.0,0.0,1.0,6.0,1.0,-2.0,0.0,-6.0,0.0,4.0,1.0,2.0,0.0,-2.0,1.0,-2.0,0.0,0.0
13,0.0,3.0,0.0,0.0,0.0,5.0,0.0,-3.0,1.0,-5.0,1.0,5.0,1.0,3.0,0.0,-3.0,0.0,-3.0,1.0,1.0
14,0.0,2.0,0.0,0.0,0.0,4.0,0.0,-4.0,1.0,-4.0,1.0,6.0,1.0,4.0,0.0,-4.0,1.0,-2.0,0.0,0.0
15,1.0,3.0,0.0,0.0,0.0,3.0,1.0,-3.0,1.0,-3.0,0.0,5.0,0.0,3.0,1.0,-3.0,1.0,-1.0,1.0,1.0
16,0.0,2.0,0.0,0.0,1.0,4.0,0.0,-4.0,0.0,-4.0,0.0,4.0,1.0,4.0,0.0,-4.0,0.0,-2.0,1.0,2.0
17,1.0,3.0,0.0,0.0,1.0,5.0,1.0,-3.0,0.0,-5.0,0.0,3.0,1.0,5.0,1.0,-3.0,0.0,-3.0,0.0,1.0
18,0.0,2.0,0.0,0.0,0.0,4.0,1.0,-2.0,1.0,-4.0,1.0,4.0,0.0,4.0,0.0,-4.0,0.0,-4.0,1.0,2.0
19,0.0,1.0,1.0,1.0,0.0,3.0,1.0,-1.0,0.0,-5.0,1.0,5.0,0.0,3.0,0.0,-5.0,1.0,-3.0,1.0,3.0
20,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-4.0,1.0,6.0,0.0,2.0,1.0,-4.0,1.0,-2.0,1.0,4.0
21,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-3.0,0.0,5.0,0.0,1.0,1.0,-3.0,0.0,-3.0,0.0,3.0
22,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,-4.0,1.0,6.0,1.0,2.0,1.0,-2.0,1.0,-2.0,1.0,4.0
23,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,-5.0,0.0,5.0,0.0,1.0,0.0,-3.0,1.0,-1.0,0.0,3.0
24,0.0,0.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,-6.0,1.0,6.0,0.0,0.0,0.0,-4.0,1.0,0.0,1.0,4.0
25,0.0,-1.0,1.0,3.0,1.0,3.0,1.0,5.0,0.0,-7.0,0.0,5.0,1.0,1.0,1.0,-3.0,0.0,-1.0,0.0,3.0
26,1.0,0.0,0.0,2.0,0.0,2.0,1.0,6.0,1.0,-6.0,0.0,4.0,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,2.0
27,0.0,-1.0,1.0,3.0,0.0,1.0,1.0,7.0,1.0,-5.0,0.0,3.0,0.0,-1.0,1.0,-3.0,0.0,-1.0,1.0,3.0
28,0.0,-2.0,0.0,2.0,0.0,0.0,1.0,8.0,1.0,-4.0,0.0,2.0,0.0,-2.0,0.0,-4.0,0.0,-2.0,1.0,4.0
29,0.0,-3.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,-3.0,1.0,3.0,1.0,-1.0,0.0,-5.0,1.0,-1.0,1.0,5.0
30,1.0,-2.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,-4.0,1.0,4.0,1.0,0.0,0.0,-6.0,1.0,0.0,1.0,6.0
31,0.0,-3.0,0.0,1.0,0.0,-1.0,1.0,9.0,0.0,-5.0,1.0,5.0,1.0,1.0,1.0,-5.0,0.0,-1.0,1.0,7.0
32,0.0,-4.0,1.0,2.0,0.0,-2.0,1.0,10.0,1.0,-4.0,1.0,6.0,0.0,0.0,0.0,-6.0,0.0,-2.0,1.0,8.0
33,1.0,-3.0,0.0,1.0,1.0,-1.0,0.0,9.0,0.0,-5.0,0.0,5.0,1.0,1.0,0.0,-7.0,0.0,-3.0,1.0,9.0
34,0.0,-4.0,1.0,2.0,1.0,0.0,1.0,10.0,1.0,-4.0,1.0,6.0,1.0,2.0,1.0,-6.0,1.0,-2.0,1.0,10.0
35,1.0,-3.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,-3.0,0.0,5.0,0.0,1.0,1.0,-5.0,1.0,-1.0,0.0,9.0
36,0.0,-4.0,0.0,0.0,1.0,2.0,1.0,10.0,1.0,-2.0,1.0,6.0,0.0,0.0,0.0,-6.0,1.0,0.0,0.0,8.0
37,1.0,-3.0,0.0,-1.0,1.0,3.0,1.0,11.0,1.0,-1.0,0.0,5.0,1.0,1.0,0.0,-7.0,1.0,1.0,1.0,9.0
38,0.0,-4.0,0.0,-2.0,1.0,4.0,1.0,12.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,-8.0,1.0,2.0,1.0,10.0
39,0.0,-5.0,1.0,-1.0,1.0,5.0,0.0,11.0,0.0,-1.0,1.0,7.0,0.0,-1.0,1.0,-7.0,1.0,3.0,0.0,9.0
40,0.0,-6.0,0.0,-2.0,0.0,4.0,0.0,10.0,0.0,-2.0,1.0,8.0,1.0,0.0,1.0,-6.0,1.0,4.0,1.0,10.0
