,BI0K40S_win/lose,BI0K40S_strike,LSL Mcisaias_win/lose,LSL Mcisaias_strike,nachili_win/lose,nachili_strike,God Bünny_win/lose,God Bünny_strike,URSOB4D_win/lose,URSOB4D_strike,niño flatulento_win/lose,niño flatulento_strike,Bongazo D Prens_win/lose,Bongazo D Prens_strike,SANCOSME_win/lose,SANCOSME_strike,Yuyın_win/lose,Yuyın_strike,Rolfkaemper_win/lose,Rolfkaemper_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0
2,1.0,0.0,1.0,2.0,1.0,0.0,0.0,-2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,3.0,0.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0
4,1.0,2.0,0.0,2.0,0.0,-2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0
5,0.0,1.0,1.0,3.0,0.0,-3.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
6,1.0,2.0,1.0,4.0,0.0,-4.0,0.0,-2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-2.0,0.0,-2.0
7,0.0,1.0,1.0,5.0,0.0,-5.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,-3.0,1.0,-1.0
8,1.0,2.0,0.0,4.0,0.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-4.0,0.0,-2.0
9,1.0,3.0,1.0,5.0,1.0,-5.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-3.0,1.0,-1.0
10,1.0,4.0,0.0,4.0,0.0,-6.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-4.0,1.0,0.0
11,1.0,5.0,1.0,5.0,1.0,-5.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-5.0,1.0,1.0
12,1.0,6.0,0.0,4.0,0.0,-6.0,0.0,-2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,-4.0,0.0,0.0
13,1.0,7.0,0.0,3.0,1.0,-5.0,1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,-3.0,1.0,1.0
14,1.0,8.0,0.0,2.0,1.0,-4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,2.0,1.0,-2.0,0.0,0.0
15,0.0,7.0,0.0,1.0,0.0,-5.0,0.0,-1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,-3.0,0.0,-1.0
16,0.0,6.0,1.0,2.0,0.0,-6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,-2.0,1.0,0.0
17,0.0,5.0,0.0,1.0,1.0,-5.0,0.0,-1.0,0.0,-1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,-3.0,1.0,1.0
18,1.0,6.0,0.0,0.0,1.0,-4.0,1.0,0.0,0.0,-2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,2.0
19,1.0,7.0,1.0,1.0,1.0,-3.0,0.0,-1.0,1.0,-1.0,0.0,3.0,0.0,-1.0,1.0,1.0,1.0,-3.0,1.0,3.0
20,0.0,6.0,1.0,2.0,0.0,-4.0,0.0,-2.0,0.0,-2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,2.0
21,0.0,5.0,1.0,3.0,0.0,-5.0,0.0,-3.0,1.0,-1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,3.0
22,1.0,6.0,0.0,2.0,0.0,-6.0,0.0,-4.0,0.0,-2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,-2.0,0.0,2.0
23,1.0,7.0,1.0,3.0,0.0,-7.0,0.0,-5.0,0.0,-3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,-1.0,1.0,3.0
24,1.0,8.0,0.0,2.0,1.0,-6.0,0.0,-6.0,0.0,-4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,-2.0,0.0,2.0
25,0.0,7.0,0.0,1.0,1.0,-5.0,0.0,-7.0,1.0,-3.0,0.0,-1.0,0.0,-1.0,0.0,3.0,1.0,-1.0,1.0,3.0
26,1.0,8.0,1.0,2.0,0.0,-6.0,1.0,-6.0,0.0,-4.0,1.0,0.0,0.0,-2.0,1.0,4.0,0.0,-2.0,1.0,4.0
27,0.0,7.0,0.0,1.0,1.0,-5.0,0.0,-7.0,1.0,-3.0,0.0,-1.0,1.0,-1.0,0.0,3.0,1.0,-1.0,0.0,3.0
28,0.0,6.0,1.0,2.0,1.0,-4.0,1.0,-6.0,1.0,-2.0,0.0,-2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0
29,1.0,7.0,1.0,3.0,1.0,-3.0,1.0,-5.0,0.0,-3.0,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,5.0
30,1.0,8.0,1.0,4.0,1.0,-2.0,0.0,-6.0,1.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,2.0,1.0,0.0,1.0,6.0
31,1.0,9.0,1.0,5.0,0.0,-3.0,0.0,-7.0,0.0,-3.0,1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,7.0
32,1.0,10.0,0.0,4.0,1.0,-2.0,1.0,-6.0,0.0,-4.0,0.0,-2.0,0.0,-2.0,1.0,2.0,1.0,2.0,0.0,6.0
33,0.0,9.0,0.0,3.0,0.0,-3.0,0.0,-7.0,1.0,-3.0,0.0,-3.0,0.0,-3.0,1.0,3.0,0.0,1.0,1.0,7.0
34,0.0,8.0,0.0,2.0,1.0,-2.0,1.0,-6.0,0.0,-4.0,1.0,-2.0,0.0,-4.0,0.0,2.0,1.0,2.0,1.0,8.0
35,1.0,9.0,1.0,3.0,0.0,-3.0,0.0,-7.0,1.0,-3.0,0.0,-3.0,1.0,-3.0,0.0,1.0,1.0,3.0,1.0,9.0
36,0.0,8.0,0.0,2.0,0.0,-4.0,0.0,-8.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,0.0,1.0,4.0,1.0,10.0
37,1.0,9.0,1.0,3.0,1.0,-3.0,1.0,-7.0,1.0,-3.0,0.0,-5.0,1.0,-3.0,0.0,-1.0,1.0,5.0,1.0,11.0
38,1.0,10.0,1.0,4.0,1.0,-2.0,0.0,-8.0,1.0,-2.0,1.0,-4.0,1.0,-2.0,0.0,-2.0,1.0,6.0,1.0,12.0
39,1.0,11.0,1.0,5.0,0.0,-3.0,0.0,-9.0,0.0,-3.0,1.0,-3.0,1.0,-1.0,0.0,-3.0,1.0,7.0,1.0,13.0
40,1.0,12.0,1.0,6.0,1.0,-2.0,1.0,-8.0,1.0,-2.0,0.0,-4.0,0.0,-2.0,0.0,-4.0,0.0,6.0,0.0,12.0
