,Sector31_win/lose,Sector31_strike,camiloaguilera_win/lose,camiloaguilera_strike,Âlma_win/lose,Âlma_strike,Lynker_win/lose,Lynker_strike,OZweedGO420_win/lose,OZweedGO420_strike,CriadorDeYordles_win/lose,CriadorDeYordles_strike,TheLit_win/lose,TheLit_strike,Ghiscar_win/lose,Ghiscar_strike,FunkyMonkCL_win/lose,FunkyMonkCL_strike,the sansation_win/lose,the sansation_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0
2,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,-2.0,0.0,-2.0,1.0,2.0
3,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,-1.0,1.0,3.0,0.0,1.0,0.0,-3.0,0.0,-3.0,1.0,3.0
4,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,-2.0,0.0,-4.0,1.0,4.0
5,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,-1.0,0.0,3.0,1.0,3.0,1.0,-1.0,0.0,-5.0,1.0,5.0
6,0.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,-2.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,-4.0,0.0,4.0
7,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,5.0,0.0,-1.0,0.0,-5.0,0.0,3.0
8,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,-2.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,-6.0,0.0,2.0
9,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,-1.0,1.0,1.0,1.0,5.0,0.0,-3.0,0.0,-7.0,0.0,1.0
10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,-2.0,1.0,2.0,1.0,6.0,1.0,-2.0,1.0,-6.0,1.0,2.0
