,IkeRator2020_win/lose,IkeRator2020_strike,DifffJG_win/lose,DifffJG_strike,Parzival4022_win/lose,Parzival4022_strike,DuendeEsclavo_win/lose,DuendeEsclavo_strike,Conimph_win/lose,Conimph_strike,CGalvez9_win/lose,CGalvez9_strike,THEBARRIOS_win/lose,THEBARRIOS_strike,EL Demoño Hauche_win/lose,EL Demoño Hauche_strike,Mirdok_win/lose,Mirdok_strike,CesWar_win/lose,CesWar_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0
2,0.0,-2.0,0.0,-2.0,0.0,-2.0,1.0,2.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
3,0.0,-3.0,1.0,-1.0,1.0,-1.0,1.0,3.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-3.0
4,1.0,-2.0,1.0,0.0,0.0,-2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-4.0
5,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-5.0
6,1.0,0.0,1.0,2.0,0.0,-2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,1.0,-4.0
7,1.0,1.0,1.0,3.0,1.0,-1.0,1.0,3.0,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-5.0
8,0.0,0.0,1.0,4.0,0.0,-2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,-4.0
9,0.0,-1.0,0.0,3.0,0.0,-3.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,-3.0,0.0,-1.0,1.0,1.0,1.0,-3.0
10,0.0,-2.0,1.0,4.0,0.0,-4.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,-2.0,0.0,-2.0,0.0,0.0,0.0,-4.0
11,0.0,-3.0,1.0,5.0,1.0,-3.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,-3.0,0.0,-3.0,1.0,1.0,0.0,-5.0
12,1.0,-2.0,0.0,4.0,0.0,-4.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,-4.0,0.0,-4.0,0.0,0.0,1.0,-4.0
13,0.0,-3.0,1.0,5.0,0.0,-5.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,-5.0,0.0,-5.0,0.0,-1.0,1.0,-3.0
14,1.0,-2.0,1.0,6.0,0.0,-6.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,-4.0,0.0,-6.0,1.0,0.0,1.0,-2.0
15,0.0,-3.0,1.0,7.0,0.0,-7.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,-5.0,0.0,-7.0,1.0,1.0,0.0,-3.0
16,1.0,-2.0,1.0,8.0,0.0,-8.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,-4.0,1.0,-6.0,1.0,2.0,0.0,-4.0
17,0.0,-3.0,1.0,9.0,1.0,-7.0,0.0,3.0,0.0,1.0,1.0,5.0,1.0,-3.0,1.0,-5.0,1.0,3.0,0.0,-5.0
18,1.0,-2.0,1.0,10.0,1.0,-6.0,1.0,4.0,0.0,0.0,1.0,6.0,0.0,-4.0,0.0,-6.0,1.0,4.0,1.0,-4.0
19,0.0,-3.0,0.0,9.0,1.0,-5.0,1.0,5.0,1.0,1.0,0.0,5.0,1.0,-3.0,1.0,-5.0,0.0,3.0,1.0,-3.0
20,0.0,-4.0,1.0,10.0,1.0,-4.0,0.0,4.0,1.0,2.0,1.0,6.0,1.0,-2.0,0.0,-6.0,0.0,2.0,1.0,-2.0
21,1.0,-3.0,1.0,11.0,0.0,-5.0,1.0,5.0,1.0,3.0,0.0,5.0,0.0,-3.0,0.0,-7.0,1.0,3.0,1.0,-1.0
22,0.0,-4.0,1.0,12.0,1.0,-4.0,0.0,4.0,0.0,2.0,0.0,4.0,1.0,-2.0,1.0,-6.0,1.0,4.0,1.0,0.0
23,0.0,-5.0,0.0,11.0,0.0,-5.0,1.0,5.0,0.0,1.0,0.0,3.0,0.0,-3.0,0.0,-7.0,1.0,5.0,0.0,-1.0
24,1.0,-4.0,0.0,10.0,0.0,-6.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,-2.0,1.0,-6.0,0.0,4.0,1.0,0.0
25,0.0,-5.0,0.0,9.0,0.0,-7.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,-7.0,1.0,5.0,1.0,1.0
26,1.0,-4.0,0.0,8.0,1.0,-6.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,-2.0,1.0,-6.0,1.0,6.0,1.0,2.0
27,1.0,-3.0,0.0,7.0,1.0,-5.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,-5.0,1.0,7.0,0.0,1.0
28,0.0,-4.0,0.0,6.0,0.0,-6.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,-6.0,1.0,8.0,1.0,2.0
29,0.0,-5.0,1.0,7.0,0.0,-7.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,-1.0,0.0,-7.0,1.0,9.0,0.0,1.0
30,0.0,-6.0,0.0,6.0,0.0,-8.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,-2.0,0.0,-8.0,0.0,8.0,0.0,0.0
31,0.0,-7.0,1.0,7.0,0.0,-9.0,1.0,5.0,1.0,3.0,1.0,3.0,0.0,-3.0,0.0,-9.0,0.0,7.0,1.0,1.0
32,1.0,-6.0,0.0,6.0,0.0,-10.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,-4.0,0.0,-10.0,1.0,8.0,0.0,0.0
33,1.0,-5.0,0.0,5.0,1.0,-9.0,1.0,5.0,1.0,3.0,0.0,1.0,0.0,-5.0,1.0,-9.0,0.0,7.0,0.0,-1.0
34,1.0,-4.0,0.0,4.0,1.0,-8.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,-6.0,1.0,-8.0,1.0,8.0,1.0,0.0
35,0.0,-5.0,0.0,3.0,0.0,-9.0,1.0,5.0,1.0,3.0,0.0,-1.0,0.0,-7.0,1.0,-7.0,1.0,9.0,0.0,-1.0
36,1.0,-4.0,1.0,4.0,1.0,-8.0,1.0,6.0,1.0,4.0,1.0,0.0,0.0,-8.0,0.0,-8.0,1.0,10.0,1.0,0.0
37,1.0,-3.0,1.0,5.0,0.0,-9.0,1.0,7.0,1.0,5.0,0.0,-1.0,0.0,-9.0,0.0,-9.0,0.0,9.0,0.0,-1.0
38,0.0,-4.0,1.0,6.0,1.0,-8.0,1.0,8.0,1.0,6.0,0.0,-2.0,1.0,-8.0,0.0,-10.0,0.0,8.0,0.0,-2.0
39,1.0,-3.0,1.0,7.0,1.0,-7.0,0.0,7.0,0.0,5.0,0.0,-3.0,1.0,-7.0,1.0,-9.0,0.0,7.0,0.0,-3.0
40,1.0,-2.0,1.0,8.0,1.0,-6.0,1.0,8.0,1.0,6.0,0.0,-4.0,0.0,-8.0,0.0,-10.0,0.0,6.0,0.0,-4.0
