,gena32_win/lose,gena32_strike,El Redoz no gana_win/lose,El Redoz no gana_strike,Redoz_win/lose,Redoz_strike,ToxicKiller_win/lose,ToxicKiller_strike,titovich12_win/lose,titovich12_strike,IkeRator2020_win/lose,IkeRator2020_strike,tupapiafk_win/lose,tupapiafk_strike,JyQ Yamikaze_win/lose,JyQ Yamikaze_strike,P Ranger Zafiro_win/lose,P Ranger Zafiro_strike,P Ranger Ketchup_win/lose,P Ranger Ketchup_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,-2.0
3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,-2.0
5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-1.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,1.0,-1.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,-2.0
7,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,1.0,0.0,-1.0,1.0,5.0,0.0,1.0,1.0,3.0,0.0,-3.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,-2.0
9,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-1.0,0.0,-1.0,1.0,7.0,1.0,1.0,1.0,3.0,0.0,-3.0
10,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,-6.0,1.0,0.0,0.0,-2.0,1.0,8.0,0.0,0.0,1.0,4.0,0.0,-4.0
11,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.0,-1.0,1.0,-1.0,1.0,9.0,0.0,-1.0,0.0,3.0,0.0,-5.0
12,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,-6.0,1.0,0.0,0.0,-2.0,1.0,10.0,1.0,0.0,0.0,2.0,0.0,-6.0
13,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-5.0,1.0,1.0,1.0,-1.0,1.0,11.0,0.0,-1.0,1.0,3.0,0.0,-7.0
14,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,-4.0,1.0,2.0,1.0,0.0,1.0,12.0,1.0,0.0,0.0,2.0,0.0,-8.0
15,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,1.0,0.0,-1.0,0.0,11.0,1.0,1.0,1.0,3.0,1.0,-7.0
16,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,-4.0,0.0,0.0,0.0,-2.0,0.0,10.0,0.0,0.0,1.0,4.0,1.0,-6.0
17,1.0,-1.0,0.0,0.0,1.0,2.0,0.0,-5.0,0.0,-1.0,0.0,-3.0,0.0,9.0,1.0,1.0,0.0,3.0,1.0,-5.0
18,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,-6.0,1.0,0.0,0.0,-4.0,1.0,10.0,1.0,2.0,1.0,4.0,1.0,-4.0
19,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-7.0,1.0,1.0,1.0,-3.0,0.0,9.0,1.0,3.0,1.0,5.0,0.0,-5.0
20,1.0,-2.0,0.0,0.0,0.0,-1.0,1.0,-6.0,1.0,2.0,1.0,-2.0,0.0,8.0,1.0,4.0,1.0,6.0,0.0,-6.0
21,1.0,-1.0,0.0,0.0,0.0,-2.0,1.0,-5.0,0.0,1.0,1.0,-1.0,1.0,9.0,1.0,5.0,0.0,5.0,0.0,-7.0
22,0.0,-2.0,0.0,0.0,0.0,-3.0,0.0,-6.0,0.0,0.0,0.0,-2.0,1.0,10.0,1.0,6.0,0.0,4.0,1.0,-6.0
23,1.0,-1.0,0.0,0.0,1.0,-2.0,0.0,-7.0,0.0,-1.0,1.0,-1.0,0.0,9.0,1.0,7.0,1.0,5.0,0.0,-7.0
24,0.0,-2.0,0.0,0.0,0.0,-3.0,0.0,-8.0,0.0,-2.0,1.0,0.0,0.0,8.0,1.0,8.0,0.0,4.0,0.0,-8.0
25,1.0,-1.0,0.0,0.0,0.0,-4.0,0.0,-9.0,1.0,-1.0,0.0,-1.0,0.0,7.0,1.0,9.0,0.0,3.0,1.0,-7.0
26,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,-10.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,10.0,1.0,4.0,0.0,-8.0
27,1.0,1.0,0.0,0.0,0.0,-6.0,0.0,-11.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0,1.0,5.0,1.0,-7.0
28,1.0,2.0,0.0,0.0,1.0,-5.0,1.0,-10.0,0.0,0.0,1.0,2.0,0.0,8.0,1.0,12.0,1.0,6.0,0.0,-8.0
29,1.0,3.0,0.0,0.0,0.0,-6.0,1.0,-9.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,11.0,1.0,7.0,0.0,-9.0
30,1.0,4.0,0.0,0.0,0.0,-7.0,1.0,-8.0,1.0,2.0,1.0,2.0,1.0,10.0,0.0,10.0,0.0,6.0,1.0,-8.0
31,0.0,3.0,0.0,0.0,1.0,-6.0,1.0,-7.0,1.0,3.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0,5.0,1.0,-7.0
32,0.0,2.0,0.0,0.0,0.0,-7.0,0.0,-8.0,1.0,4.0,1.0,2.0,0.0,8.0,1.0,10.0,0.0,4.0,0.0,-8.0
33,0.0,1.0,0.0,0.0,1.0,-6.0,1.0,-7.0,1.0,5.0,0.0,1.0,0.0,7.0,0.0,9.0,0.0,3.0,1.0,-7.0
34,1.0,2.0,1.0,1.0,1.0,-5.0,1.0,-6.0,0.0,4.0,1.0,2.0,1.0,8.0,1.0,10.0,1.0,4.0,0.0,-8.0
35,1.0,3.0,0.0,0.0,0.0,-6.0,1.0,-5.0,1.0,5.0,0.0,1.0,0.0,7.0,0.0,9.0,1.0,5.0,0.0,-9.0
36,0.0,2.0,1.0,1.0,0.0,-7.0,1.0,-4.0,1.0,6.0,0.0,0.0,0.0,6.0,1.0,10.0,1.0,6.0,1.0,-8.0
37,1.0,3.0,0.0,0.0,0.0,-8.0,0.0,-5.0,1.0,7.0,1.0,1.0,1.0,7.0,0.0,9.0,1.0,7.0,0.0,-9.0
38,0.0,2.0,1.0,1.0,1.0,-7.0,1.0,-4.0,0.0,6.0,1.0,2.0,0.0,6.0,1.0,10.0,1.0,8.0,1.0,-8.0
39,1.0,3.0,0.0,0.0,0.0,-8.0,1.0,-3.0,1.0,7.0,1.0,3.0,0.0,5.0,0.0,9.0,0.0,7.0,0.0,-9.0
40,1.0,4.0,1.0,1.0,1.0,-7.0,1.0,-2.0,1.0,8.0,0.0,2.0,0.0,4.0,0.0,8.0,0.0,6.0,0.0,-10.0
