,K SHiro_win/lose,K SHiro_strike,Yo soy ironman l_win/lose,Yo soy ironman l_strike,enniox_win/lose,enniox_strike,warmach1n32811_win/lose,warmach1n32811_strike,IkeRator2020_win/lose,IkeRator2020_strike,Cap Styles_win/lose,Cap Styles_strike,paleontologia_win/lose,paleontologia_strike,Bananafacio_win/lose,Bananafacio_strike,Miracles785_win/lose,Miracles785_strike,Zarina_win/lose,Zarina_strike
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0
2,0.0,-2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,1.0,2.0,0.0,-2.0
3,1.0,-1.0,0.0,1.0,1.0,3.0,0.0,-1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,-1.0
4,0.0,-2.0,0.0,0.0,1.0,4.0,0.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,1.0,2.0,0.0,-2.0
5,0.0,-3.0,1.0,1.0,1.0,5.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,-3.0,1.0,3.0,1.0,-1.0
6,0.0,-4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,2.0,0.0,-2.0
7,1.0,-3.0,1.0,1.0,0.0,3.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,-3.0,0.0,1.0,0.0,-3.0
8,0.0,-4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-2.0,1.0,2.0,0.0,0.0,0.0,-4.0,1.0,2.0,1.0,-2.0
9,0.0,-5.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-3.0,1.0,3.0,0.0,-3.0
10,1.0,-4.0,1.0,2.0,0.0,0.0,0.0,-2.0,0.0,-2.0,1.0,2.0,1.0,0.0,0.0,-4.0,1.0,4.0,1.0,-2.0
11,0.0,-5.0,0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,3.0,1.0,1.0,0.0,-5.0,0.0,3.0,0.0,-3.0
12,1.0,-4.0,0.0,0.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,-6.0,0.0,2.0,1.0,-2.0
13,1.0,-3.0,0.0,-1.0,0.0,-3.0,1.0,1.0,0.0,-1.0,1.0,5.0,0.0,1.0,1.0,-5.0,0.0,1.0,0.0,-3.0
