,championName,AllyHelp_Score,AllyUseless_Score,utility,allyfrec,allyfrec_porc,allywin,allywr
0,Jhin,0.10112359550561797,0.0449438202247191,0.056179775280898875,13,3.65169,9.0,69.23077
1,Warwick,0.0898876404494382,0.02247191011235955,0.06741573033707865,10,2.80899,8.0,80.0
2,Ezreal,0.07865168539325842,0.033707865168539325,0.0449438202247191,10,2.80899,7.0,70.0
3,Yunara,0.06741573033707865,0.02247191011235955,0.0449438202247191,8,2.24719,6.0,75.0
4,Jinx,0.06741573033707865,0.0449438202247191,0.02247191011235955,10,2.80899,6.0,60.0
5,Volibear,0.056179775280898875,0.033707865168539325,0.02247191011235955,8,2.24719,5.0,62.5
6,Diana,0.056179775280898875,0.011235955056179775,0.0449438202247191,6,1.68539,5.0,83.33333
7,Kayn,0.0449438202247191,0.0449438202247191,0.0,8,2.24719,4.0,50.0
8,Samira,0.0449438202247191,0.0,0.0449438202247191,4,1.1236,4.0,100.0
9,Gnar,0.0449438202247191,0.0,0.0449438202247191,4,1.1236,4.0,100.0
10,Mel,0.033707865168539325,0.0,0.033707865168539325,3,0.8427,3.0,100.0
11,Nasus,0.033707865168539325,0.011235955056179775,0.02247191011235955,4,1.1236,3.0,75.0
12,Kaisa,0.033707865168539325,0.02247191011235955,0.011235955056179775,5,1.40449,3.0,60.0
13,Irelia,0.033707865168539325,0.011235955056179775,0.02247191011235955,4,1.1236,3.0,75.0
14,Sylas,0.033707865168539325,0.0449438202247191,-0.011235955056179775,7,1.96629,3.0,42.85714
15,Leblanc,0.033707865168539325,0.02247191011235955,0.011235955056179775,5,1.40449,3.0,60.0
16,Gangplank,0.033707865168539325,0.011235955056179775,0.02247191011235955,4,1.1236,3.0,75.0
17,Vayne,0.033707865168539325,0.011235955056179775,0.02247191011235955,4,1.1236,3.0,75.0
18,Akali,0.033707865168539325,0.056179775280898875,-0.02247191011235955,8,2.24719,3.0,37.5
19,XinZhao,0.033707865168539325,0.02247191011235955,0.011235955056179775,5,1.40449,3.0,60.0
20,Tristana,0.02247191011235955,0.0,0.02247191011235955,2,0.5618,2.0,100.0
21,Olaf,0.02247191011235955,0.033707865168539325,-0.011235955056179775,5,1.40449,2.0,40.0
22,LeeSin,0.02247191011235955,0.011235955056179775,0.011235955056179775,3,0.8427,2.0,66.66667
23,Ahri,0.02247191011235955,0.011235955056179775,0.011235955056179775,3,0.8427,2.0,66.66667
24,Yasuo,0.02247191011235955,0.0,0.02247191011235955,2,0.5618,2.0,100.0
